text,label
"Minha aplicação vence hoje, a renovação é automática?","Produtivo"
"Certo.","Improdutivo"
"Obrigado pelo retorno rápido.","Improdutivo"
"Você ganhou um prêmio! Clique para resgatar!","Improdutivo"
"Fwd: Fotos da festa de confraternização","Improdutivo"
"Como cadastrar um débito automático?","Produtivo"
"Meu nome foi negativado indevidamente. Peço a remoção imediata.","Produtivo"
"Gostaria de agendar uma reunião com meu assessor de investimentos.","Produtivo"
"Não consigo visualizar a fatura detalhada no site.","Produtivo"
"Tudo bem.","Improdutivo"
"Saudações.","Improdutivo"
"[AVISO] Manutenção programada do sistema.","Improdutivo"
"Obrigado por confirmar.","Improdutivo"
"Por favor, verifiquem o anexo para a proposta de seguro residencial.","Produtivo"
"Onde declaro os proventos recebidos de FIIs?","Produtivo"
"O aplicativo está pedindo uma atualização que não completa.","Produtivo"
"Solicito o extrato para fins judiciais.","Produtivo"
"Faz sentido.","Improdutivo"
"Beleza.","Improdutivo"
"Boas festas!","Improdutivo"
"Parabéns pelo projeto!","Improdutivo"
"Qual o valor da anuidade do cartão Black?","Produtivo"
"Não estou recebendo as notificações de compra por SMS.","Produtivo"
"Gostaria de amortizar parte do saldo devedor do meu financiamento.","Produtivo"
"Houve um lançamento de 'Tarifa de Manutenção' que não estava prevista.","Produtivo"
"Recebido com sucesso.","Improdutivo"
"Pode deixar.","Improdutivo"
"Sua fatura está fechando!","Improdutivo"
"Atenciosamente.","Improdutivo"
"Como cadastrar a chave PIX?","Produtivo"
"A ordem de compra de ações que enviei não foi executada.","Produtivo"
"Meu cartão foi clonado. O que devo fazer?","Produtivo"
"Preciso da segunda via do contrato de câmbio.","Produtivo"
"Legal!","Improdutivo"
"Visto.","Improdutivo"
"Segue o link da notícia.","Improdutivo"
"Confirmado.","Improdutivo"
"Gostaria de entender melhor a cobrança de IOF na minha fatura.","Produtivo"
"O sistema não está aceitando minha nova senha.","Produtivo"
"É possível antecipar as parcelas do meu empréstimo?","Produtivo"
"Recebi um dividendo que não consta no meu extrato de investimentos.","Produtivo"
"Nada mais.","Improdutivo"
"Bom final de semana.","Improdutivo"
"Veja este vídeo engraçado!","Improdutivo"
"Disponha.","Improdutivo"
"Qual é o código SWIFT do banco para transferências internacionais?","Produtivo"
"Estou com dificuldade para habilitar o iToken no meu novo celular.","Produtivo"
"Poderiam me explicar a diferença entre LCI e LCA?","Produtivo"
"O valor da cota do fundo de investimento parece estar desatualizado no app.","Produtivo"
"Sem mais.","Improdutivo"
"Ótimo.","Improdutivo"
"Olá, como vai?","Improdutivo"
"Feito.","Improdutivo"
"Preciso contestar uma compra feita em meu cartão.","Produtivo"
"Como faço para obter o informe de pagamentos para convênio médico?","Produtivo"
"O débito automático da minha conta de luz não foi processado.","Produtivo"
"Quero aplicar em um plano de previdência privada.","Produtivo"
"Tudo pronto por aqui.","Improdutivo"
"Certíssimo.","Improdutivo"
"Apenas para seu conhecimento.","Improdutivo"
"Te vejo lá.","Improdutivo"
"Solicito análise de crédito para financiamento.","Produtivo"
"Como emitir um DARF para pagamento de impostos sobre ações?","Produtivo"
"O aplicativo desconectou e não consigo entrar novamente.","Produtivo"
"Minha fatura com vencimento em 10/10 ainda não fechou. Está correto?","Produtivo"
"Agradeço a ajuda.","Improdutivo"
"Falamos amanhã.","Improdutivo"
"Você não vai acreditar no que aconteceu!","Improdutivo"
"Não se preocupe.","Improdutivo"
"Qual a cotação do dólar para hoje?","Produtivo"
"Onde posso encontrar os relatórios de análise de mercado?","Produtivo"
"O sistema de pagamentos online está fora do ar?","Produtivo"
"Recebi um boleto de cobrança em nome da empresa, mas não reconheço a dívida.","Produtivo"
"Isso resolve.","Improdutivo"
"Perfeitamente.","Improdutivo"
"Fwd: Corrente da sorte","Improdutivo"
"Obrigado pela sua paciência.","Improdutivo"
"Preciso alterar a data de vencimento da minha fatura.","Produtivo"
"Como funciona o resgate de pontos do programa de fidelidade?","Produtivo"
"O leitor de código de barras do app não está funcionando.","Produtivo"
"Gostaria de uma cópia da gravação da ligação de ontem. Protocolo 998877.","Produtivo"
"Entendido.","Improdutivo"
"Bom dia e bom trabalho.","Improdutivo"
"Você foi selecionado para uma oferta de crédito exclusiva!","Improdutivo"
"Estou em reunião no momento.","Improdutivo"
"É possível fazer um upgrade no meu pacote de serviços?","Produtivo"
"Como desbloqueio meu cartão para uso no exterior?","Produtivo"
"O comprovante de pagamento que o sistema gera está saindo sem o nome do beneficiário.","Produtivo"
"A aplicação agendada não foi efetivada.","Produtivo"
"Sem problemas, obrigado.","Improdutivo"
"Recebido, obrigado por avisar.","Improdutivo"
"Sua conta foi comprometida. Clique aqui para verificar.","Improdutivo"
"Fico à disposição.","Improdutivo"
"Solicito formalmente o cancelamento do seguro prestamista.","Produtivo"
"Quais são as garantias cobertas pelo FGC?","Produtivo"
"O app fecha sozinho quando tento ver meus investimentos.","Produtivo"
"O pagamento do meu boleto foi agendado mas não debitado da conta.","Produtivo"
"Ok, grato.","Improdutivo"
"Agradecido.","Improdutivo"
"Feliz dia das mães!","Improdutivo"
"Estou ciente.","Improdutivo"
"Peço a revisão da taxa de juros do meu contrato.","Produtivo"
"O informe de rendimentos parece estar com um valor incorreto.","Produtivo"
"Não consigo gerar a segunda via da fatura pelo site.","Produtivo"
"Gostaria de saber o status da entrega do meu novo cartão.","Produtivo"
"Tudo certo.","Improdutivo"
"Obrigado pela informação.","Improdutivo"
"Pesquisa de satisfação: Avalie nosso atendimento.","Improdutivo"
"Qual seu palpite para o jogo de hoje?","Improdutivo"
